,clean_msg,target,char_count,word_count,digit_count,question_count,exclamation_count,dollar_count,cap_ratio,unique_words,repitition_factor,sentiment
19,england macedonia done miss galatea news text national team <num> leg england <num> wale scotland <num>txtú<num> poboxox<num>w<num>wq,1,155,17,23,0,0,0,0.2064516129032258,15,1.1333333333333333,-0.1531
20,seriously spell name,0,41,3,0,1,0,0,0.024390243902439025,3,1.0,-0.1779
21,ism going try month joking,0,47,5,1,0,0,0,0.02127659574468085,5,1.0,0.2263
22,pay first lar stock coming,0,52,5,0,0,0,0,0.038461538461538464,5,1.0,-0.1027
23,aft finish lunch str ard smith finish lunch already,0,88,9,1,1,0,0,0.03409090909090909,7,1.2857142857142858,0.0
24,ffffffffff alright way meet sooner,0,57,5,0,1,0,0,0.05263157894736842,5,1.0,0.25
25,forced eat slice really hungry tho suck mark getting worried know sick turn pizza low,0,144,15,0,0,0,0,0.05555555555555555,15,1.0,-0.9147
26,low always convincing,0,30,3,0,0,0,0,0.03333333333333333,3,1.0,0.1531
27,catch bus frying egg make tea eating mon left dinner feel love,0,134,12,0,5,0,0,0.04477611940298507,12,1.0,0.6369
28,back amp packing car let know room,0,75,7,0,0,0,0,0.02666666666666667,7,1.0,0.0
29,arch work vaguely remember feel like low,0,64,7,0,1,1,0,0.078125,7,1.0,0.1027
30,wait still clear sure sarcastic want live,0,130,7,0,0,0,0,0.007692307692307693,7,1.0,0.4939
31,yeah got apologetic fallen actin like spoilt child got caught till badly cheer,0,188,13,2,1,2,0,0.026595744680851064,12,1.0833333333333333,0.34
32,tell anything,0,29,2,0,0,0,0,0.034482758620689655,2,1.0,0.0
33,fear fainting housework quick cuppa,0,84,5,0,1,0,0,0.023809523809523808,5,1.0,-0.4939
34,thanks subscription ringtone mobile charged month please confirm replying yes reply charged,1,158,12,1,0,0,1,0.08227848101265822,11,1.0909090909090908,0.6486
35,yup home look timing mag hui going learn may lesson,0,122,10,2,0,0,0,0.02459016393442623,10,1.0,0.0
36,oops let know roommate done,0,47,5,0,0,0,0,0.0425531914893617,5,1.0,0.0
37,see letter car,0,28,3,0,0,0,0,0.07142857142857142,3,1.0,0.0
38,anything decide,0,27,2,0,0,0,0,0.07407407407407407,2,1.0,0.0
39,hello saturday texting see would decided anything trying invite anything,0,155,10,0,1,2,0,0.025806451612903226,9,1.1111111111111112,0.1531
40,plus ahead watt wanted sure great weekend biol,0,82,8,0,0,0,0,0.04878048780487805,8,1.0,0.7506
41,forget tell want need crave love sweet arabian steed mommy yummy,0,142,11,0,1,0,0,0.07042253521126761,11,1.0,0.875
42,<num> rodger burn mag tried call reply sims free nokia mobile free camcorder please call <num> delivery tomorrow,1,172,18,22,0,0,0,0.040697674418604654,15,1.2,0.836
43,seeing,0,19,1,0,1,0,0,0.7894736842105263,1,1.0,0.0
44,great hope like man well endowed list inch,0,72,8,0,0,1,0,0.041666666666666664,8,1.0,0.891
45,callsmessagesmissed call,0,32,2,0,0,0,0,0.03125,2,1.0,0.0
46,get hep immunisation nigeria,0,45,4,0,0,0,0,0.022222222222222223,4,1.0,0.0
47,fair enough anything going,0,31,4,0,1,0,0,0.03225806451612903,4,1.0,0.3182
48,yeah hopefully tyler cannot could maybe ask around bit,0,67,9,0,0,0,0,0.029850746268656716,9,1.0,0.5994
49,know stubborn even want hospital kept telling mark weak sucker hospital weak sucker,0,148,13,0,0,0,0,0.0472972972972973,10,1.3,-0.9325
50,thanked first time saw class,0,58,5,0,0,0,0,0.034482758620689655,5,1.0,0.4404
51,gram usually run like list half eighth smarter though get almost whole second gram list,0,124,15,0,0,0,0,0.008064516129032258,13,1.1538461538461537,0.6705
52,fri ride early tomorrow morning crashing place tonight,0,80,8,0,0,0,0,0.0125,8,1.0,0.0
53,wow never realized embarrassed accommodation thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarrassing,0,289,21,0,0,0,0,0.02422145328719723,19,1.105263157894737,0.9203
54,sims site new jersey devil detroit red wing play ice hockey correct incorrect end reply end site,1,120,17,0,2,0,0,0.2,15,1.1333333333333333,-0.4588
55,know gallia sherman yesterday find laurent,0,76,6,0,1,0,0,0.09210526315789473,6,1.0,0.0
56,congrats year special cinema pas call <num> superman matrix starter etc free bx<num>ip<num>we done miss,1,160,15,24,0,4,0,0.075,15,1.0,0.8316
57,sorry call later meeting,0,34,4,0,0,0,0,0.058823529411764705,4,1.0,-0.0772
58,tell reached,0,22,2,0,0,0,0,0.045454545454545456,2,1.0,0.1027
59,yesgauti sewage odd series,0,40,4,0,0,0,0,0.025,4,1.0,-0.3182
60,gonna pick burger way home cannot even move pain killing,0,108,10,1,0,0,1,0.027777777777777776,10,1.0,-0.4015
61,good joke girl situation seeker,0,48,5,0,0,0,0,0.041666666666666664,5,1.0,0.6249
62,part checking,0,25,2,0,0,0,0,0.12,2,1.0,0.0
63,sorry roommate took forever come,0,56,5,0,1,0,0,0.03571428571428571,5,1.0,-0.0772
64,lar double check hair dresser already said sun cut short said cut look nice,0,110,14,0,0,0,0,0.01818181818181818,12,1.1666666666666667,-0.1027
65,valued customer pleased advise following recent review mob awarded £<num> bonus prize call <num>,1,152,14,15,0,0,1,0.039473684210526314,14,1.0,0.936
66,today song dedicated day song dedicate send valuable fund first reply,0,122,11,0,1,0,0,0.02459016393442623,10,1.1,0.7269
67,urgent awarded complimentary trip eurodisinc tray acoentry<num> £<num> claim text dis <num> <num>£<num>morefrmmob shracomorsglsuplt<num> raj,1,159,15,21,0,0,2,0.1509433962264151,15,1.0,0.7506
68,hear new divorce barbie come ken stuff,1,78,7,0,1,1,0,0.0641025641025641,7,1.0,0.0
69,plane give month end,0,34,4,0,0,0,0,0.029411764705882353,4,1.0,0.0
70,lucky man save money,0,46,4,0,0,0,0,0.06521739130434782,4,1.0,0.7184
71,finished class,0,29,2,0,0,0,0,0.034482758620689655,2,1.0,0.0
72,babe home wanna something xxx,0,45,5,0,1,0,0,0.7777777777777778,5,1.0,0.0
73,performed,0,42,1,0,2,0,0,0.023809523809523808,1,1.0,0.0
74,call,0,20,1,0,0,0,0,0.05,1,1.0,0.0
75,waiting machine call free,0,43,4,0,0,0,0,0.046511627906976744,4,1.0,0.5106
76,cool gentleman treat dignity respect,0,73,5,0,0,0,0,0.0136986301369863,5,1.0,0.8689
77,like people much shy,0,50,4,0,0,0,0,0.02,4,1.0,0.128
78,operate list,0,42,2,0,0,0,0,0.023809523809523808,2,1.0,0.0
79,still looking job much earn,0,76,5,0,0,0,0,0.05263157894736842,5,1.0,0.0
80,sorry call later,0,22,3,0,0,0,0,0.09090909090909091,3,1.0,-0.0772
81,call,0,31,1,0,1,0,0,0.06451612903225806,1,1.0,0.0
82,way home,0,32,2,0,0,0,0,0.03125,2,1.0,0.0
83,place man,0,36,2,0,0,0,0,0.027777777777777776,2,1.0,0.0
84,yup next stop,0,14,3,0,0,0,0,0.07142857142857142,3,1.0,-0.296
85,call later network urgent sims,0,55,5,0,0,0,0,0.03636363636363636,5,1.0,0.2023
86,real getting need ticket one jacket done already used multi,0,121,10,1,1,0,0,0.03305785123966942,10,1.0,0.0
87,yes started send request make pain came back back bed double coin factory gotta cash nitro,0,144,16,0,0,0,0,0.034722222222222224,15,1.0666666666666667,-0.1531
88,really still tonight babe,0,42,4,0,0,0,0,0.023809523809523808,4,1.0,0.0
89,hanoi download come wen free,0,41,5,0,0,0,0,0.024390243902439025,5,1.0,0.5106
90,yeah stand close tho catch something,0,58,6,0,0,2,0,0.034482758620689655,6,1.0,0.296
91,sorry pain meet another night spent late afternoon casualty mean done stuff<num>moro includes time sheet sorry,0,194,16,2,1,0,0,0.020618556701030927,15,1.0666666666666667,-0.8074
92,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile someone still love see smiling,0,141,18,1,0,2,0,0.1347517730496454,14,1.2857142857142858,0.9382
93,please call customer service representative <num> <num> <num>am<num>pm guaranteed £<num> cash £<num> prize,1,137,13,22,0,1,2,0.029197080291970802,11,1.1818181818181819,0.6808
94,planning buy later check already lido got show afternoon finish work already,0,107,12,3,1,0,0,0.028037383177570093,11,1.0909090909090908,0.0
95,free ringtone waiting collected simply text password mix <num> verify get usher britney fol box <num> mkt mph <num>ppw,1,158,19,18,0,0,0,0.11392405063291139,18,1.0555555555555556,0.5106
96,watching telugu movie,0,33,3,0,1,0,0,0.030303030303030304,3,1.0,0.0
97,see finish load loan pay,0,51,5,0,0,0,0,0.0196078431372549,5,1.0,-0.1027
98,hols yes bit run forgot hairdresser appointment four need get home shower beforehand cause prob,0,178,15,0,1,1,0,0.028089887640449437,15,1.0,0.4019
99,see cup coffee animation,0,31,4,0,0,0,0,0.03225806451612903,4,1.0,0.0
100,please text anymore nothing else say,0,57,6,0,0,0,0,0.03508771929824561,6,1.0,0.3182
101,okay name price long legal wen pick ave xxx,0,81,9,0,1,1,0,0.04938271604938271,9,1.0,0.34
102,still looking car buy gone driving test yet,0,76,8,1,0,0,0,0.02631578947368421,8,1.0,0.0
103,per request smell belle minnaminunginte vietnam set callertune caller press copy friend callertune,0,160,13,1,0,0,0,0.0625,12,1.0833333333333333,0.4939
104,wow right mean guess gave boston men changed search location nyx something changed cut signing page still say boston,0,183,19,0,0,1,0,0.02185792349726776,17,1.1176470588235294,0.4019
105,emma life java emma love lot dear,0,44,7,0,0,0,0,0.022727272727272728,6,1.1666666666666667,0.7783
106,thanks lot wish birthday thanks making birthday truly memorable,0,95,9,0,0,0,0,0.021052631578947368,7,1.2857142857142858,0.886
107,right hit get cash,0,43,4,0,0,0,0,0.06976744186046512,4,1.0,0.0
108,would address test considering computer mineshaft server,0,82,7,0,0,0,0,0.012195121951219513,7,1.0,0.0
109,know grumpy old people mon like better lying always one play joke,0,115,12,0,0,1,0,0.043478260869565216,12,1.0,0.6808
110,done worry guess busy,0,30,4,0,0,0,0,0.06666666666666667,4,1.0,-0.4404
111,plural noun research,0,40,3,0,1,0,0,0.025,3,1.0,0.0
112,going dinner,0,31,2,0,0,0,0,0.03225806451612903,2,1.0,0.0
113,like try new thing scared dun like may said loud,0,96,10,1,0,0,0,0.03125,9,1.1111111111111112,0.2732
114,gent trying contact last weekend draw show £<num> prize guaranteed call <num> claim code key valid ppm,1,158,17,22,0,1,1,0.13291139240506328,17,1.0,0.5106
115,opening sentence formal anyway fine jul latin much putting weighthaha anything special happened,0,143,13,0,1,0,0,0.027972027972027972,13,1.0,0.5859
116,entered cabin said happy would bos felt special ask lunch lunch invited apartment went,0,156,14,1,0,2,0,0.07051282051282051,13,1.0769230769230769,0.7506
117,winner specially selected receive £<num> holiday flight inc speak live operator claim <num>pmin,1,151,13,22,0,0,1,0.013245033112582781,13,1.0,0.7579
118,good yes must speak friday potato ratio tortilla needed,0,71,9,0,0,2,0,0.028169014084507043,9,1.0,0.6808
119,hammy uncle informed paying school directly plus buy food,0,86,9,0,0,0,0,0.023255813953488372,9,1.0,0.0
120,private <num> account statement <num> show unredeemed bonus point claim call <num> identifier code <num> expires,1,144,16,34,0,1,0,0.1111111111111111,13,1.2307692307692308,0.5423
121,urgent mobile awarded £<num> bonus caller prize <num> final try contact call landline <num> box<num>wr<num>c ppm,1,156,16,26,0,2,1,0.16025641025641027,15,1.0666666666666667,0.8834
122,new address applespairsall malarkey,0,53,4,0,0,0,0,0.0,4,1.0,0.0
123,today soda number ending <num> selected receive award match please call <num> quoting claim code <num> standard rate app,1,156,19,22,0,0,1,0.019230769230769232,17,1.1176470588235294,0.7269
124,going today done,0,51,3,2,0,0,0,0.0392156862745098,3,1.0,0.0
125,predict wat time finish buying,0,38,5,0,1,0,0,0.02631578947368421,5,1.0,0.0
126,good stuff,0,20,2,0,0,0,0,0.05,2,1.0,0.4404
127,knowyetunde sent money yet sent text bother sending done involve anything imposed anything first place apologise,0,244,16,0,0,0,0,0.01639344262295082,14,1.1428571428571428,-0.0258
128,room,0,22,1,0,0,0,0,0.045454545454545456,1,1.0,0.0
129,hey girl hope well del back long time give call sum time lucy,0,107,13,0,1,2,0,0.7009345794392523,12,1.0833333333333333,0.6124
130,much cost,0,28,2,0,1,0,0,0.03571428571428571,2,1.0,0.0
131,home,0,9,1,0,0,0,0,0.1111111111111111,1,1.0,0.0
132,dear call tomorrow accommodate,0,39,4,0,0,0,0,0.05128205128205128,4,1.0,0.3818
133,first answer question,0,25,3,0,0,0,0,0.04,3,1.0,0.0
134,sunshine quiz wkly win top sony player know country algae text <num> £<num> tyrone,1,125,14,8,1,1,1,0.112,14,1.0,0.8316
135,want get laid tonight want real dogging location sent direct mob join largest dogging network toting gravel <num> echo <num>pmsg<num>p,1,162,20,13,2,1,0,0.09876543209876543,18,1.1111111111111112,0.3182
136,man yijuehotmailcom,0,38,2,0,0,0,0,0.05263157894736842,2,1.0,0.0
137,call meet,0,34,2,0,0,0,0,0.058823529411764705,2,1.0,0.0
138,check room activity,0,46,3,0,0,0,0,0.043478260869565216,3,1.0,0.0
139,rev mug chat sec free hardcore service text <num> get nothing must age verify network try,1,155,16,5,0,0,0,0.07741935483870968,16,1.0,0.5106
140,got lazy type forgot lect saw pouch like nice,0,85,9,0,0,0,0,0.047058823529411764,9,1.0,0.4215
141,text way,0,33,2,0,0,0,0,0.030303030303030304,2,1.0,0.0
142,sir waiting mail,0,27,3,0,0,0,0,0.07407407407407407,3,1.0,0.0
143,set thought get tired little thing lovable person cozsomtimes little thing occupy biggest part heart god nil,0,156,17,2,0,0,0,0.03205128205128205,15,1.1333333333333333,0.4445
144,know plus open back,0,42,4,0,1,0,0,0.047619047619047616,4,1.0,0.0
145,yes see dot,0,25,3,0,0,0,0,0.04,3,1.0,0.4019
146,whats staff name taking class,0,48,5,0,1,0,0,0.020833333333333332,5,1.0,0.0
147,freeman replied text randy sexy female live local lug hear metroplex ltd <num>p per mag reply stop end,1,159,18,14,1,0,0,0.05660377358490566,18,1.0,0.5994
148,ummmawill call check incur life begin qatar plus pray hard,0,84,10,0,0,0,0,0.011904761904761904,10,1.0,0.2263
149,deleted contact,0,33,2,0,1,0,0,0.030303030303030304,2,1.0,0.0
150,hindu got job birls soft,0,30,5,0,0,0,0,0.03333333333333333,5,1.0,0.0
151,wine flowing severing,0,45,3,0,0,0,0,0.022222222222222223,3,1.0,0.0
152,yup cine better need plaza may,0,59,6,2,0,0,0,0.01694915254237288,6,1.0,0.4404
153,typical reply,0,25,2,0,0,0,0,0.08,2,1.0,0.0
154,per request smell belle minnaminunginte vietnam set callertune caller press copy friend callertune,0,160,13,1,0,0,0,0.0625,12,1.0833333333333333,0.4939
155,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot show ill see guess like thing must exist like rain hail mist time done become one,0,384,35,0,0,0,0,0.013020833333333334,33,1.0606060606060606,0.7096
156,aaooooright work,0,28,2,0,1,0,0,0.03571428571428571,2,1.0,0.0
157,leaving house,0,27,2,0,0,0,0,0.037037037037037035,2,1.0,0.0
158,hello love get interview today happy good boy think mere missing,0,157,11,0,6,0,0,0.044585987261146494,11,1.0,0.8625
159,customer service announcement new year delivery waiting please call <num> arrange delivery,1,124,12,11,0,0,0,0.04032258064516129,11,1.0909090909090908,0.3182
160,winner specially selected receive £<num> cash holiday flight inc speak live operator claim <num>,1,145,14,20,0,0,1,0.013793103448275862,14,1.0,0.7579
161,keep safe need miss already envy everyone see real life,0,115,10,0,0,0,0,0.034782608695652174,10,1.0,0.0516
162,new car house parent new job hand,0,64,7,0,0,0,0,0.015625,6,1.1666666666666667,0.4939
163,love excited day spend make happy,0,85,6,0,0,0,0,0.03529411764705882,6,1.0,0.8834
164,plus stop bootydelious inviting friend reply yes see wwwsmsacubootydelious stop send stop find <num>,1,152,14,13,1,0,0,0.20394736842105263,12,1.1666666666666667,0.3818
165,language order way receive service mag download content got bang mobile interservice menu,1,155,13,1,0,0,0,0.12903225806451613,13,1.0,0.0
166,place point culture module already,0,51,5,0,0,0,0,0.0196078431372549,5,1.0,0.0
167,urgent trying contact last weekend draw show £<num> prize guaranteed call <num> claim code see valid,1,156,16,18,0,1,1,0.14102564102564102,16,1.0,0.6249
168,find best way avoid misunderstanding wit beloved one,0,74,8,0,1,0,0,0.013513513513513514,8,1.0,0.5423
169,great escape fancy bridge need lager see,0,66,7,0,0,0,0,0.045454545454545456,7,1.0,0.7003
170,yes completely formulary also utter waste,0,59,6,0,0,0,0,0.01694915254237288,6,1.0,-0.0258
171,sir need axis bank account bank address,0,50,7,0,0,0,0,0.2,6,1.1666666666666667,0.0
172,hmm sure got time hop ard free mhz call discus liao,0,93,11,1,0,0,0,0.043010752688172046,11,1.0,0.6808
173,time coming later,0,32,3,0,1,0,0,0.03125,3,1.0,0.0
174,bloody hell cant believe forgot surname ill give clue spanish begin,0,104,11,0,0,0,0,0.028846153846153848,11,1.0,-0.8834
175,well gonna finish bath goodwin night,0,61,6,0,0,0,0,0.03278688524590164,6,1.0,0.2732
176,let know got money carlos make call,0,65,7,0,0,0,0,0.015384615384615385,7,1.0,0.0
177,still going mall,0,26,3,0,1,0,0,0.038461538461538464,3,1.0,0.0
178,turn friend staying whole show back til list feel free ahead smoke list worth,0,146,14,0,0,0,1,0.00684931506849315,13,1.0769230769230769,0.8126
179,text reply let know log,0,66,5,0,0,0,0,0.030303030303030304,5,1.0,0.0
180,spoke ganesha would like know satisfied experience reply toll free yes,0,126,11,0,0,1,0,0.1349206349206349,11,1.0,0.8834
181,lifted hope offer money need especially end month approach hurt studying anyways gre weekend,0,159,14,1,0,0,0,0.025157232704402517,14,1.0,-0.128
182,low trust,0,23,2,0,0,0,0,0.08695652173913043,2,1.0,0.296
183,gentleman treat dignity respect,0,65,4,0,0,0,0,0.015384615384615385,4,1.0,0.8176
184,guy close,0,24,2,0,1,0,0,0.041666666666666664,2,1.0,0.0
185,going nothing greatly,0,26,3,0,0,0,0,0.038461538461538464,3,1.0,0.0
186,hello handsome finding job lazy working towards getting back net mummy boston miss,0,152,13,0,5,1,0,0.039473684210526314,13,1.0,0.0258
187,hama awesome minute,0,34,3,0,0,0,0,0.029411764705882353,3,1.0,0.6249
188,please call customer service representative freephone <num> <num> <num>am<num>pm guaranteed £<num> cash £<num> prize,1,147,14,22,0,1,2,0.08843537414965986,12,1.1666666666666667,0.6808
189,got xmas radio time get,0,55,5,0,0,0,0,0.05454545454545454,5,1.0,0.0
190,jus reached home bathe first using net tell finish,0,88,9,0,0,0,0,0.03409090909090909,9,1.0,0.1027
191,unique enough find august wwwareyouuniquecouk,1,72,5,2,1,0,0,0.041666666666666664,5,1.0,0.0
192,sorry joined league people done keep touch mean great deal friend time even great personal cost great week,0,185,18,0,0,0,0,0.02702702702702703,16,1.125,0.9451
193,finally completed course,0,37,3,0,0,0,0,0.02702702702702703,3,1.0,0.0
194,stop however suggest stay someone able give every stool,0,111,9,0,0,0,0,0.018018018018018018,9,1.0,-0.296
195,hope settled new school year within gre day,0,92,8,1,1,0,0,0.03260869565217391,8,1.0,0.4404
196,god ming dear nice day,0,28,5,0,0,0,0,0.03571428571428571,5,1.0,0.7579
197,got person story,0,28,3,0,0,0,0,0.03571428571428571,3,1.0,0.0
198,hamster dead hey tar meet orchard art,0,63,7,1,2,0,0,0.015873015873015872,7,1.0,-0.6486
199,kate evening hope see tomorrow bit bloody bayonet text back xxx,0,131,11,0,1,1,0,0.030534351145038167,11,1.0,0.0
200,found enc list,0,40,3,0,1,0,0,0.1,3,1.0,0.0
201,sent list buck,0,28,3,0,0,0,0,0.03571428571428571,3,1.0,0.0
202,hello darwin live finished college text finish love kate xxx,0,84,10,0,0,0,0,0.023809523809523808,10,1.0,0.6369
203,account refilled successfully ltdecimalgt keralacircle prepaid account balance ltdecimalgt transaction list,0,174,11,0,0,0,0,0.16091954022988506,9,1.2222222222222223,0.4939
204,woodworking sleeping,0,24,2,0,0,0,0,0.041666666666666664,2,1.0,0.0
205,call alter,0,25,2,2,0,0,0,0.04,2,1.0,0.0
206,say like dat dun buy ericsson cannot order lar,0,63,9,0,0,0,0,0.015873015873015872,9,1.0,0.3612
207,entered cabin said happy would bos felt special ask lunch lunch invited apartment went,0,156,14,1,0,2,0,0.07051282051282051,13,1.0769230769230769,0.7506
208,right date straight dog,0,28,4,0,0,0,0,0.03571428571428571,4,1.0,0.2263
209,please give connection today ltdecimalgt refund bill,0,86,7,0,0,0,0,0.09302325581395349,7,1.0,0.3182
210,shoot big load get ready,0,39,5,0,0,1,0,0.02564102564102564,5,1.0,0.0258
211,brut hope great break rewarding semester,0,73,6,0,0,0,0,0.0273972602739726,6,1.0,0.886
212,home always chat,0,26,3,0,0,0,0,0.038461538461538464,3,1.0,0.0
213,kkgoodstudy well,0,23,2,0,0,0,0,0.043478260869565216,2,1.0,0.2732
214,yup noe let,0,23,3,0,0,0,0,0.08695652173913043,3,1.0,0.0
215,sound great home,0,31,3,0,1,1,0,0.06451612903225806,3,1.0,0.6249
216,finally match heading towards draw prediction,0,58,6,0,0,0,0,0.017241379310344827,6,1.0,0.0
217,tired slept well past night,0,48,5,0,0,0,0,0.041666666666666664,5,1.0,-0.2023
218,easy ashen got selected mean good,0,41,6,0,1,0,0,0.024390243902439025,6,1.0,0.7003
219,take exam march,0,32,3,1,0,0,0,0.03125,3,1.0,0.0
220,yeah think use atm register sure anyway help let know sure ready,0,159,12,0,0,0,0,0.025157232704402517,11,1.0909090909090908,0.875
221,prob take time,0,25,3,0,0,0,0,0.08,3,1.0,0.0
222,called band run without installing hard desktop use copy important file system give repair shop,0,161,15,0,0,0,0,0.006211180124223602,15,1.0,0.2723
223,sorry call later,0,22,3,0,0,0,0,0.09090909090909091,3,1.0,-0.0772
224,say let course nothing happen lar say romantic jus bit site scenery nice let,0,119,14,0,0,0,0,0.03361344537815126,12,1.1666666666666667,0.6705
225,new mobile <num> must text nokia <num> collect todayfrom www<num>tcbiz output <num>gbpmtmsg<num>,1,142,12,31,0,2,1,0.14084507042253522,11,1.0909090909090908,0.0
226,would really appreciate call need someone talk,0,69,7,0,0,0,0,0.028985507246376812,7,1.0,0.4576
227,meet dream partner soon career flying start find free text hero followed star sign hero aries,1,137,16,2,2,0,0,0.10948905109489052,15,1.0666666666666667,0.91
228,hey company lama mudyadhu,0,30,4,0,0,0,0,0.03333333333333333,4,1.0,0.0
229,life strict teacher coz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0,165,19,0,0,0,0,0.048484848484848485,12,1.5833333333333333,0.5719
230,dear good morning,0,34,3,0,0,0,0,0.029411764705882353,3,1.0,0.6705
231,get gandhipuram walk cross cut road right side list street road turn first right,0,109,14,0,0,0,0,0.01834862385321101,12,1.1666666666666667,-0.2732
232,dear going rubber place,0,37,4,0,0,0,0,0.02702702702702703,4,1.0,0.3818
233,sorry battery died yeah,0,33,4,0,0,0,0,0.06060606060606061,4,1.0,-0.4019
234,yester always available work place,0,48,5,0,0,0,0,0.020833333333333332,5,1.0,0.0
235,text meet someone sexy today find date even flirt join reply name age leg sam mag recdthirtyeight penny,1,157,18,7,0,0,0,0.10828025477707007,18,1.0,0.6808
236,printed list come upstairs,0,50,4,0,0,0,0,0.04,4,1.0,0.0
237,ill little closer like bus stop street,0,65,7,0,0,0,0,0.015384615384615385,7,1.0,-0.4173
238,toughen reach,0,38,2,0,2,0,0,0.02631578947368421,2,1.0,0.0516
239,new theory argument win situation loses person done argue friend kick amp say always correct,0,145,15,0,0,1,0,0.13793103448275862,15,1.0,0.2023
240,<num> secret admirer looking make contact find reveal think specifically <num>,1,145,11,24,0,0,0,0.034482758620689655,10,1.1,0.4215
241,tomorrow final hearing laptop case cant,0,51,6,0,0,0,0,0.0196078431372549,6,1.0,0.0
242,pleassssssseeeeee tel event done sport,0,45,5,0,0,0,0,0.8444444444444444,5,1.0,0.0
243,okay shining meant signing sound better,0,83,6,0,0,0,0,0.03614457831325301,6,1.0,0.5859
244,although told dat big face watch really like watch gave everything dat done today touched,0,155,15,1,0,0,0,0.012903225806451613,13,1.1538461538461537,0.4201
245,remember old commercial,0,37,3,0,1,0,0,0.02702702702702703,3,1.0,0.0
246,late said website done slipper,0,78,5,0,0,0,0,0.038461538461538464,5,1.0,0.0
247,asked call,0,30,2,0,0,0,0,0.03333333333333333,2,1.0,0.0
248,wallis wont bat inning,0,31,4,1,0,0,0,0.03225806451612903,4,1.0,0.0
249,didst work goodnight ill fix ready time wake dearly missed good night sleep,0,146,13,0,0,0,0,0.0273972602739726,13,1.0,0.4939
250,congratulation awarded voucher gift guaranteed free entry wkly draw text music <num> tic wwwldewcom<num>win<num>ppmx<num>age<num>,1,150,14,22,0,0,0,0.08,14,1.0,0.9153
251,faith cal deer deep min hold,0,44,6,1,0,0,0,0.045454545454545456,6,1.0,0.4215
252,wen lovable bum angry int take seriously coz angry childish true way showing deep affection care lug method manga nice day,0,179,21,0,0,1,0,0.01675977653631285,20,1.05,0.7717
253,,0,27,0,0,2,0,0,0.037037037037037035,0,,0.0
254,ups day also shipping company take way take week get lag may bribe post get stuff,0,179,16,2,0,0,0,0.0111731843575419,14,1.1428571428571428,-0.4939
255,back lemme know ready,0,38,4,0,0,0,0,0.02631578947368421,4,1.0,0.3612
256,necessarily expect done get back though heading,0,97,7,0,0,0,0,0.020618556701030927,7,1.0,0.0
257,mem yummy babe nice jolt suzy,0,43,6,0,0,0,0,0.046511627906976744,6,1.0,0.7351
258,lover need,0,36,2,0,1,0,0,0.05555555555555555,2,1.0,0.5859
